Date,CANSIM1260001,Adjusted AB Production
Jan-01,6836.2,6904562
Feb-01,6244.6,6307046
Mar-01,7051.3,7121813
Apr-01,6428.2,6492482
May-01,6910.6,6979706
Jun-01,6405.7,6469757
Jul-01,6732.5,6799825
Aug-01,6845.4,6913854
Sep-01,6169.9,6231599
Oct-01,6657.8,6724378
Nov-01,6681.3,6748113
Dec-01,6986.2,7056062
Jan-02,6858.5,6927085
Feb-02,6232.7,6295027
Mar-02,6705.8,6772858
Apr-02,6714.3,6781443
May-02,6511.9,6577019
Jun-02,6329.2,6392492
Jul-02,6941,7010410
Aug-02,7214.7,7286847
Sep-02,6874,6942740
Oct-02,7071.1,7141811
Nov-02,6757.5,6825075
Dec-02,6994.2,7064142
Jan-03,6908.8,6977888
Feb-03,6178.4,6240184
Mar-03,6609.3,6675393
Apr-03,6574.3,6640043
May-03,6995.7,7065657
Jun-03,7117.3,7188473
Jul-03,7898.1,7977081
Aug-03,7899.5,7978495
Sep-03,7348.9,7422389
Oct-03,7589.9,7665799
Nov-03,7410.5,7484605
Dec-03,8055,8135550
Jan-04,7764.2,7841842
Feb-04,7348.5,7421985
Mar-04,7836.2,7914562
Apr-04,7443.4,7517834
May-04,7854.8,7933348
Jun-04,7586.4,7662264
Jul-04,7751.1,7828611
Aug-04,8080.6,8161406
Sep-04,7689.1,7765991
Oct-04,7655,7731550
Nov-04,7701,7778010
Dec-04,7694.8,7771748
Jan-05,7194.9,7266849
Feb-05,6476.2,6540962
Mar-05,6970.3,7040003
Apr-05,7118.1,7189281
May-05,7501.1,7576111
Jun-05,7242.9,7315329
Jul-05,7466.6,7541266
Aug-05,7748.2,7825682
Sep-05,7485.4,7560254
Oct-05,8332.7,8416027
Nov-05,8227.9,8310179
Dec-05,8635.8,8722158
Jan-06,8506.1,8591161
Feb-06,7264.9,7337549
Mar-06,7459.3,7533893
Apr-06,8082.6,8163426
May-06,7656.5,7733065
Jun-06,7286.6,7359466
Jul-06,8200.3,8282303
Aug-06,8589,8674890
Sep-06,8212,8294120
Oct-06,8931.5,9020815
Nov-06,8523.3,8608533
Dec-06,8497.9,8582879
Jan-07,8256.7,8339267
Feb-07,7814.7,7892847
Mar-07,8720,8807200
Apr-07,7928.7,8007987
May-07,8001.8,8081818
Jun-07,7541.7,7617117
Jul-07,8421.9,8506119
Aug-07,9124.2,9215442
Sep-07,8437.9,8522279
Oct-07,8850.2,8938702
Nov-07,8401.6,8485616
Dec-07,7942.5,8021925
Jan-08,8409.2,8493292
Feb-08,7662.8,7739428
Mar-08,8429.7,8513997
Apr-08,7812.3,7890423
May-08,7634.1,7710441
Jun-08,7916.6,7995766
Jul-08,8671.2,8757912
Aug-08,8800.4,8888404
Sep-08,8156.9,8238469
Oct-08,8496.4,8581364
Nov-08,8541.9,8627319
Dec-08,8648.6,8735086
